CODIGO CIE;CODIGO INEP;ESCOLA;DIRETORIA;MUNICIPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO
903012;35903012;LUCIA HELENA CESAR PROFESSORA;SAO ROQUE;VARGEM GRANDE PAULISTA;;3.45;2.23
903048;35903048;PEDRA BRANCA;ITAPECERICA DA SERRA;JUQUITIBA;6.63;3.18;3.16
903061;35903061;MARIA JOSE ANTUNES FERRAZ PROFESSORA;TABOAO DA SERRA;TABOAO DA SERRA;;3.35;2.72
903073;35903073;JACONIAS LEITE DA SILVA PASTOR;SANTOS;GUARUJA;;3.54;2.69
903097;35903097;RUBENS PAIVA DEPUTADO;SAO VICENTE;PRAIA GRANDE;;2.89;2.37
903127;35903127;MIQUELINA CARTOLANO PROFA;GUARATINGUETA;LORENA;;4.53;3.87
903164;35903164;CELISA MERCADANTE FARIA PROFA;JACAREI;JACAREI;6.33;4.05;2.91
903188;35903188;ABILIO RAPOSO FERRAZ JUNIOR;AVARE;ITAI;;3.54;2.62
903197;35903197;ORESTES ORIS DE ALBUQUERQUE PROF;ITAPETININGA;ANGATUBA;;;4.41
903206;35903206;MARIA TEREZA DE SOUZA FALCARELI PROFESSORA;ITARARE;ITABERA;;4.22;3.49
903231;35903231;JOSE PINTO DO AMARAL PROFESSOR;SAO ROQUE;MAIRINQUE;;;3.95
903243;35903243;ESTACAO DONA CATARINA;SAO ROQUE;MAIRINQUE;;;3.44
903255;35903255;IDA YOLANDA LANZONI DE BARROS PROFESSORA;SOROCABA;SOROCABA;5.79;3.14;2.47
903267;35903267;ZELIA DULCE DE CAMPOS MAIA PROFESSORA;SOROCABA;SOROCABA;5.14;3.54;
903279;35903279;FLAVIO GAGLIARDI PROFESSOR;SOROCABA;SOROCABA;5.42;3.22;3.23
903280;35903280;JOSE ROQUE DE ALMEIDA ROSA PROFESSOR;SOROCABA;SOROCABA;;5.10;
903309;35903309;LIENETTE AVALONE RIBEIRO PROFA;ITAPETININGA;TATUI;;2.91;2.00
903310;35903310;BENEDICTO LEME VIEIRA NETO PROFESSOR;VOTORANTIM;SALTO DE PIRAPORA;;3.10;2.51
903334;35903334;ANTONIO DE OLIVEIRA BUENO FILHO;ARARAQUARA;ARARAQUARA;8.90;;
903358;35903358;LEONARDO BARBIERI DEPUTADO;ARARAQUARA;ARARAQUARA;5.51;4.12;
903371;35903371;ORLANDO FRANCA DE CARVALHO PROFESSOR;JABOTICABAL;BEBEDOURO;;2.73;2.42
903395;35903395;ADALGISA DE SAO JOSE GUALTIERI;FRANCA;FRANCA;8.30;;
903401;35903401;LIZETE PAULINO TEIXEIRA PROFA;FRANCA;FRANCA;4.86;;
903462;35903462;GETULIO VARGAS DOUTOR;RIBEIRAO PRETO;RIBEIRAO PRETO;4.16;;
