CÓDIGO CIE;Código INEP;ESCOLA;DIRETORIA;MUNICÍPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MÉDIO
12683;35012683;JOAQUIM VILELA DE OLIVEIRA MARCONDES                        ;GUARATINGUETA;GUARATINGUETA;;2,54;1,88
12695;35012695;ERNESTO QUISSAK PROF                                        ;GUARATINGUETA;GUARATINGUETA;;3,16;1,95
12725;35012725;JOSE FELIX PROF                                             ;GUARATINGUETA;POTIM;;;1,77
12750;35012750;MARIA AMALIA DE MAGALHAES TURNER PROFA                      ;GUARATINGUETA;GUARATINGUETA;;2,44;2,88
12774;35012774;PAULO VIRGINIO                                              ;GUARATINGUETA;CUNHA;;2,43;2,20
12786;35012786;GERALDO COSTA                                               ;GUARATINGUETA;CUNHA;;2,40;2,15
12798;35012798;CASEMIRO DA ROCHA DR                                        ;GUARATINGUETA;CUNHA;;3,08;
12816;35012816;MURILLO DO AMARAL PROF                                      ;GUARATINGUETA;APARECIDA;;;2,46
12828;35012828;PAULINA CARDOSO PROFA                                       ;GUARATINGUETA;APARECIDA;;2,90;2,64
12841;35012841;NILO SANTOS VIEIRA PROF                                     ;GUARATINGUETA;GUARATINGUETA;;2,64;1,73
12877;35012877;ANDRE BROCA PROF                                            ;GUARATINGUETA;ROSEIRA;;;2,24
12889;35012889;CHICO PADRE                                                 ;TAUBATE;LAGOINHA;;2,93;2,95
12890;35012890;ANTONIO DA CRUZ PAYAO PROF                                  ;GUARATINGUETA;GUARATINGUETA;;2,74;1,43
12919;35012919;ROGERIO LACAZ PROF                                          ;GUARATINGUETA;GUARATINGUETA;5,20;3,97;2,85
12920;35012920;FRANCISCO AUGUSTO DA COSTA BRAGA PROF                       ;GUARATINGUETA;GUARATINGUETA;;2,09;1,78
12932;35012932;FLAMINIO LESSA DR                                           ;GUARATINGUETA;GUARATINGUETA;;2,74;1,93
12944;35012944;GABRIEL PRESTES                                             ;GUARATINGUETA;LORENA;;2,13;1,95
12968;35012968;LUIZ DE CASTRO PINTO PROF                                   ;GUARATINGUETA;LORENA;;3,21;2,39
13006;35013006;LEONOR GUIMARAES PROFA                                      ;GUARATINGUETA;PIQUETE;;2,10;1,71
13018;35013018;DARWIN FELIX PROF                                           ;GUARATINGUETA;PIQUETE;;2,25;2,03
13055;35013055;MARIA IZABEL FONTOURA                                       ;GUARATINGUETA;CACHOEIRA PAULISTA;;1,91;0,81
13079;35013079;OLIVEIRA GOMES COMENDADOR                                   ;GUARATINGUETA;CACHOEIRA PAULISTA;;2,54;
13080;35013080;JUCA PADRE                                                  ;GUARATINGUETA;CACHOEIRA PAULISTA;;2,66;2,86
13109;35013109;ARNOLFO AZEVEDO                                             ;GUARATINGUETA;LORENA;;1,67;0,82
13110;35013110;JOAQUIM FERREIRA PEDRO PROF                                 ;GUARATINGUETA;LORENA;;1,80;1,87
13134;35013134;ALICE VILELA GALVAO PROFA                                   ;GUARATINGUETA;CANAS;;;1,53
13146;35013146;PAULO VIRGINIO                                              ;GUARATINGUETA;CACHOEIRA PAULISTA;;2,20;1,53
13158;35013158;REGINA POMPEIA PINTO PROFA                                  ;GUARATINGUETA;CACHOEIRA PAULISTA;;2,87;1,23
13161;35013161;FRANCISCO MARQUES DE OLIVEIRA JUNIOR PROF                   ;GUARATINGUETA;LORENA;;2,03;1,17
13171;35013171;SEVERINO MOREIRA BARBOSA                                    ;GUARATINGUETA;CACHOEIRA PAULISTA;;;2,26
13183;35013183;JOAO PEDRO CARDOSO DR                                       ;PINDAMONHANGABA;PINDAMONHANGABA;6,29;2,64;1,90
13195;35013195;JOAO MARTINS DE ALMEIDA PROFESSOR                           ;PINDAMONHANGABA;PINDAMONHANGABA;;2,55;2,09
13201;35013201;PEDRO SILVA PROFESSOR                                       ;PINDAMONHANGABA;PINDAMONHANGABA;;1,75;1,01
13262;35013262;CLARO CESAR DEPUTADO                                        ;PINDAMONHANGABA;PINDAMONHANGABA;3,11;2,32;1,93
13274;35013274;GENESIO CANDIDO PEREIRA DOUTOR                              ;PINDAMONHANGABA;SAO BENTO DO SAPUCAI;;2,96;2,01
13286;35013286;THEODORO CORREA CINTRA PROFESSOR                            ;PINDAMONHANGABA;CAMPOS DO JORDAO;;;1,94
13328;35013328;MARIA FERREIRA SONNEWEND PROFESSORA                         ;SAO JOSE DOS CAMPOS;MONTEIRO LOBATO;;3,98;1,77
13336;35013336;MARIO BULCAO GIUDICE PROFESSOR                              ;PINDAMONHANGABA;PINDAMONHANGABA;;3,71;2,39
13365;35013365;RYOITI YASSUDA                                              ;PINDAMONHANGABA;PINDAMONHANGABA;;;4,14
13389;35013389;EURIPEDES BRAGA PROFESSOR                                   ;PINDAMONHANGABA;PINDAMONHANGABA;4,08;3,60;
13390;35013390;ALFREDO PUJOL DOUTOR                                        ;PINDAMONHANGABA;PINDAMONHANGABA;;;3,66
13407;35013407;MARIO TAVARES DOUTOR                                        ;PINDAMONHANGABA;PINDAMONHANGABA;5,49;2,55;2,45
13432;35013432;GABRIELLA MONTEIRO DE ATHAYDE MARCONDES PROFESSORA          ;PINDAMONHANGABA;PINDAMONHANGABA;5,25;2,75;
13444;35013444;JOAO JOSE DE AZEVEDO MONSENHOR                              ;PINDAMONHANGABA;PINDAMONHANGABA;5,12;2,70;1,77
13456;35013456;YOLANDA BUENO DE GODOY PROFESSORA                           ;PINDAMONHANGABA;PINDAMONHANGABA;;2,28;2,07
13468;35013468;AFFONSO DE CARVALHO DESEMBARGADOR                           ;PINDAMONHANGABA;SANTO ANTONIO DO PINHAL;;;2,50
13481;35013481;ALCEU MAYNARD ARAUJO PROFESSOR                              ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;3,10;2,45
13493;35013493;EDEWALDO FREITAS GAIA SANT ANA PROFESSOR                    ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;6,50;;
13500;35013500;ZILDA ALTIMIRA SOCI PROFESSORA                              ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;4,68;;
13511;35013511;EUNICE CORDEIRO DOS SANTOS RODRIGUES PROFESSORA             ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;6,20;;
13523;35013523;ILZA IRMA MOELLER COPPIO PROFESSORA                         ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;1,61;1,57
13547;35013547;FELICIO SAVASTANO PROFESSOR                                 ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;4,24;;
13559;35013559;JORGE BARBOSA MOREIRA PROFESSOR                             ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;3,41;2,04;1,91
13560;35013560;JOSE VIEIRA MACEDO PROFESSOR                                ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;;2,56
13572;35013572;ANA CANDIDA DE BARROS MOLINA PROFESSORA                     ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;3,00;2,53
13584;35013584;PEDRO MAZZA PROFESSOR                                       ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;2,45;1,70
13596;35013596;PEDRO MASCARENHAS DOUTOR                                    ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;4,85;3,39;2,59
13602;35013602;EUCLIDES BUENO MIRAGAIA                                     ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;3,45;2,14;1,72
13626;35013626;OLIMPIO CATAO                                               ;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;2,82;1,61
