NOMEDEP;DE;MUN;DISTR;COD_ESC;NOMESC;SITUACAO;TIPOESC;ENDESC;NUMESC;COMPLEND;CEP;BAIESC;ZONA;DS_LONGITUDE;DS_LATITUDE;CODVINC
ESTADUAL - SE;SAO VICENTE;PERUIBE;PERUIBE;911343;VITALINO BERNINI PADRE PROFESSOR;Ativa;EE;L;27;AVENIDA;11750000;JARDIM CARAMINGUAVA;URBANA;-47,01953888;-24,30796051;
ESTADUAL - SE;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;911392;JOAQUIM DE MOURA CANDELARIA PROFESSOR;Ativa;EE;JOSEFA ALBUQUERQUE DOS SANTOS;831;RUA;12236670;CIDADE MORUMBI;URBANA;-45,90932083;-23,25665092;
ESTADUAL - SE;JOSE BONIFACIO;MIRASSOL;MIRASSOL;911446;IRIA BARBIERI VITA PROFESSORA;Ativa;EE;RUA DOS BRANDIMARTE;1450;AVENIDA;15130000;JARDIM SANTA CLAUDIA;URBANA;-49,49900055;-20,82530022;
ESTADUAL - SE;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;SAO JOSE DO RIO PRETO;911461;OSCAR DE BARROS SERRA DORIA DOUTOR;Ativa;EE;BEATRIZ DA CONCEICAO;471;RUA;15044025;SOLO SAGRADO;URBANA;-49,41042925;-20,77960986;
ESTADUAL - SE;NORTE 2;SAO PAULO;CACHOEIRINHA;911537;DILSON FUNARO MINISTRO;Ativa;EE;FRANCISCO MACHADO DA SILVA;1410;AVENIDA;2678000;JARDIM PERI;URBANA;-46,6534;-23,4557;
ESTADUAL - SE;LINS;PROMISSAO;PROMISSAO;911616;COMUNIDADE NOSSA SENHORA APARECIDA;Ativa;ÁREA DE ASSENTAMENTO;RODOVIA BR 153;SN;KM 140;16370000;FAZENDA REUNIDAS;RURAL;-49,79180306;-21,33107575;
ESTADUAL - SE;BRAGANCA PAULISTA;NAZARE PAULISTA;NAZARE PAULISTA;911677;FABIO HACL PINOLA PROF;Ativa;EE;RUA JOSE FARIA JUNIOR;65;RUA;12960000;VICENTE NUNES;URBANA;-46,3944397;-23,15974045;
ESTADUAL - SE;CAMPINAS OESTE;CAMPINAS;CAMPINAS OESTE;911744;ROSINA FRAZATTO DOS SANTOS PROFESSORA;Ativa;EE;RUA REVERENDO JOSE COELHO FERRAZ;SN;RUA;13059662;CIDADE SATELITE IRIS;URBANA;-47,1354332;-22,93782043;
ESTADUAL - SE;MIRANTE DO PARANAPANEMA;ROSANA;ROSANA;911860;RIBEIRINHOS;Ativa;ÁREA DE ASSENTAMENTO;GLEBA XV DE NOVEMBRO;SN;SETOR III;19273000;GLEBA XV DE NOVEMBRO;RURAL;-52,69739532;-22,45037651;
ESTADUAL - SE;MIRACATU;MIRACATU;MIRACATU;911884;MARIA JOSE MORAIS DE CARVALHO PROFESSORA;Ativa;EE;SITIO RIBEIRAO BONITO;SN;PRACA;11850000;SITIO RIBEIRAO BONITO;RURAL;-47,37009811;-24,30979919;
ESTADUAL - SE;ARARAQUARA;MATAO;MATAO;911896;GUERINO VEDOATO;Ativa;EE;RUA ENZO CASTELANI;1850;RUA;15997028;VILA CARDIM;URBANA;-48,35689926;-21,59199905;
ESTADUAL - SE;APIAI;APIAI;APIAI;912013;JULIA RIBEIRO BRETAS PROFA;Ativa;EE;RUA EMIDIO PAULUS;SN;RUA;18320000;ENCAPOEIRADO;RURAL;-48,93067932;-24,46565056;
ESTADUAL - SE;APIAI;ITAPIRAPUA PAULISTA;ITAPIRAPUA PAULISTA;912037;MARIA BERNARDETI FERNANDES RODRIGUES PROFA;Ativa;EE;RUA ANTONIO LEAL DE MATOS;232;AVENIDA;18385000;RIBEIRAO DA VARZEA;RURAL;-49,22681046;-24,49183083;
ESTADUAL - SE;RIBEIRAO PRETO;RIBEIRAO PRETO;RIBEIRAO PRETO;912086;ROMEU ALBERTI DOM;Ativa;EE;FLORINDA BORDIZAN SAMPAIO;250;RUA;14065060;JARDIM JOSE SAMPAIO JUNIOR;URBANA;-47,82981873;-21,13962936;
ESTADUAL - SE;SAO JOAQUIM DA BARRA;SAO JOAQUIM DA BARRA;SAO JOAQUIM DA BARRA;912098;EDDA CARDOZO DE SOUZA MARCUSSI;Ativa;EE;RUA JOAQUIM CANDIDO PAULA;500;;14600000;JOAO PAULO II;URBANA;-47,87591934;-20,60084915;
